batter,pitch_name,num_turns,total_hits,avg_batting,total_strikeouts,avg_strikeouts,avg_balls,avg_strikes,avg_speed,min_speed,max_speed,std_speed
Justin Dean,4-Seam Fastball,2,0,0.0,0,0.0,0.5,2.0,99.05,99.0,99.1,0.07071067811865074
Justin Dean,Cutter,1,0,0.0,0,0.0,0.0,1.0,94.7,94.7,94.7,
Justin Dean,Sinker,2,0,0.0,0,0.0,2.0,1.5,95.475,95.45,95.5,0.035355339059330394
Justin Dean,Slider,2,0,0.0,1,0.5,3.5,3.0,88.9,88.7,89.10000000000001,0.28284271247462306
Max Muncy,4-Seam Fastball,247,26,0.10526315789473684,19,0.07692307692307693,2.283400809716599,1.7327935222672064,94.65675053017158,89.5,101.7,2.24227760490225
Max Muncy,Changeup,106,10,0.09433962264150944,11,0.10377358490566038,1.6320754716981132,1.6603773584905661,87.03298742138364,77.8,94.26666666666667,2.773341343442542
Max Muncy,Curveball,123,3,0.024390243902439025,12,0.0975609756097561,1.4959349593495934,1.5040650406504066,80.03482384823847,73.06666666666666,86.55000000000001,2.8117402905372053
Max Muncy,Cutter,95,6,0.06315789473684211,1,0.010526315789473684,1.5894736842105264,0.9157894736842105,89.89745614035088,81.9,95.5,2.8483415796321783
Max Muncy,Eephus,2,0,0.0,0,0.0,0.5,0.0,46.849999999999994,44.9,48.8,2.7577164466275317
Max Muncy,Forkball,2,0,0.0,0,0.0,2.0,1.0,84.0,83.6,84.4,0.5656854249492461
Max Muncy,Knuckle Curve,28,2,0.07142857142857142,2,0.07142857142857142,1.9285714285714286,1.8928571428571428,83.53184523809523,77.3,88.80000000000001,3.6577684211686106
Max Muncy,Other,4,0,0.0,0,0.0,1.5,0.75,65.6625,58.9,71.8,5.744471980376729
Max Muncy,Sinker,126,13,0.10317460317460317,1,0.007936507936507936,1.6507936507936507,1.1825396825396826,93.5683201058201,86.05000000000001,99.9,2.8634006627398745
Max Muncy,Slider,148,10,0.06756756756756757,24,0.16216216216216217,1.614864864864865,1.5472972972972974,85.80219594594595,61.2,92.0,3.8062198471993165
Max Muncy,Slow Curve,1,0,0.0,0,0.0,1.0,1.0,65.2,65.2,65.2,
Max Muncy,Slurve,3,0,0.0,1,0.3333333333333333,2.3333333333333335,3.0,82.31666666666666,80.95,83.0,1.1835680518387364
Max Muncy,Split-Finger,31,3,0.0967741935483871,5,0.16129032258064516,1.8064516129032258,2.032258064516129,87.22956989247312,83.1,98.0,3.7565441902479337
Max Muncy,Sweeper,82,6,0.07317073170731707,6,0.07317073170731707,1.1585365853658536,1.353658536585366,82.76006097560975,72.0,88.2,2.9896141490661328
